Name,Global ID
"Egg & Feta Side", SB0550
"Egg White & Roasted Red Pepper Sous Vide Egg Bites", SB0223
"Eggnog Crème", SB0511
"Eggnog Crème Frappuccino® Blended Beverage", SB0512
"Eggnog Frappuccino® Blended Beverage", SB0084
"Eggnog Latte", SB0085
"Eggs & Cheese Protein Box", SB0470
"Emperor’s Clouds & Mist®", SB0369
"Equal", SBMOD0032
"Espresso (Double)", SB0308
"Espresso (Quad)", SB0314
"Espresso (Single)", SB0307
"Espresso (Triple)", SB0313
"Espresso Frappuccino® Blended Beverage", SB0322
"Espresso Macchiato (Double)", SB0310
"Espresso Macchiato (Quad)", SB0316
"Espresso Macchiato (Single)", SB0309
"Espresso Macchiato (Triple)", SB0315
"Espresso Roast Clover®", SB0341
"Espresso Shots", sbuxtemplate0004
"Espresso con Panna (Double)", SB0312
"Espresso con Panna (Quad)", SB0318
"Espresso con Panna (Single)", SB0311
"Espresso con Panna (Triple)", SB0317
"Ethiopia Clover®", SB0372
"Ethos® Bottled Water", SB0086
"Everybody's Favorite – Bantam Bagel (2-pack)", SB0452
"Everything Bagel", SB0088SB0087
"Everything Bagel & Veggie Breakfast Bake", SB0547
"Evolution Fresh Organic Super Fruit Greens Smoothie 11 fl oz", SB0093
"Evolution Fresh Vital Berry 11 fl oz", SB0557
"Evolution Fresh® Orange", SB0090
"Evolution Fresh® Organic Defense Up®", SB0089
"Evolution Fresh® Organic Green Devotion", SB0091
"Evolution Fresh® Organic Strawberry Lemonade", SB0092
"Evolution Fresh® Watermelon", SB0094
"Evolution Fresh™ Sweet Berry", SB0540
"Extra", sbuxmods_inventory0006
"Extra Tea", sbuxmods_inventory0076
"Featured Roast", SBMOD0041
"Featured Starbucks® Dark Roast Coffee", SB0095
"Flat White", SB0096
"Flat Whites", sbuxtemplate0005
"Flat Whites/Lattes/Macchiatos/Mochas/Chai Teas", sbuxtemplate0037
"Frappucino Chips", SBMOD0046sbuxmods_inventory0045
"French Roast Clover®", SB0343
"Galvanina Sparkling Water", SB0097
"Galvanina Sparkling Water - Lime", SB0098
"Ginger Molasses Cookie", SB0441
"Gingerbread Biscotti", SB0099
"Gingerbread Loaf", SB0100
"Golden Ginger Blend Powder", SBMOD0076
"Good Squared - Urban Trail", SB0458
"Goodie Girl Mint Slims", SB0101
"Graham Cracker Crumbles", SBMOD0059
"Grande", sbuxmods_inventory0003
"Green Tea", sbuxmods_inventory0082
"Green Tea (splash)", SBMOD0065
"Green Teas", sbuxtemplate0011
"Grilled Chicken and Hummus Protein Box", SB0489
"Guatemala Acatanango Volcano Valley Clover®", SB0390
"Guava Blend", SBMOD0074
"Guava Cream Cheese Croissant", SB0449
"Guava Juice Blend", sbuxmods_inventory0079
"Half & Half", SBMOD0004sbuxmods_inventory0014
"Half Caf", SBMOD0038
"Ham & Cheese Croissant", SB0465
"Ham & Swiss Panini", SB0443
"Ham, SB0224
"Hawai‘i Volcanic Water", SB0543
"Hazelnut Syrup", SBMOD0014sbuxmods_inventory0062
"Heart Sugar Cookies (bundle of 2)", SB0478
"Hearty Blueberry Oatmeal", SB0102
"Heavy Cream", SBMOD0005sbuxmods_inventory0015
"Herbal Teas", sbuxtemplate0012
"Herbed Chicken Side", SB0548
"Hippeas® – White Cheddar", SB0103
"Holiday Sugar Sprinkles", SBMOD0061
"Holiday Turkey Panini", SB0104
"Honey Almondmilk Cold Brew", SB0536
"Honey Blend Syrup", sbuxmods_inventory0072
"Honey Citrus Mint Tea", SB0405
"Honey Oatmilk Latte", SB0553
"Honey Packet", sbuxmods_inventory0023
"Horizon® Chocolate Organic Milk", SB0105
"Horizon® Organic Lowfat Milk Box", SB0107
"Horizon® Organic Vanilla Milk Box", SB0108
"Hot Chocolate", SB0012SB0109
"Hot Chocolates", sbuxtemplate0013
"Hot Chocolates/Steamers", sbuxtemplate0041
"Iced Almondmilk Honey Flat White", SB0427
"Iced Almondmilk Honey Flat White with Starbucks® Blonde Espresso", SB0424
"Iced Americano", sbuxtemplate0019
"Iced Black Tea", SB0111
"Iced Black Tea Lemonade", SB0112
"Iced Black Teas", sbuxtemplate0027
"Iced Blonde Skinny Caffè Latte", SB0268
"Iced Blonde Skinny Caramel Macchiato", SB0287
"Iced Blonde Skinny Cinnamon Dolce Latte", SB0250
"Iced Blueberry Black Tea", SB0113
"Iced Blueberry Black Tea Lemonade", SB0114
"Iced Brazil Isidro Pereira Estate Clover® Starbucks Reserve®", SB0492
"Iced Brazil Sertaozinho Clover®", SB0376
"Iced Brown Sugar Oatmilk Shaken Espresso", SB0531
"Iced Caffè Americano", SB0110
"Iced Caffè Latte", SB0115
"Iced Caffè Mocha", SB0116
"Iced Caffé Verona® Clover®", SB0346
"Iced Cappuccino with Cold Foam", SB0193
"Iced Caramel Brulée Latte", SB0507
"Iced Caramel Cloud Macchiato* (Contains eggs)", SB0410
"Iced Caramel Macchiato", SB0117
"Iced Chai Tea Latte", SB0118
"Iced Chai Teas", sbuxtemplate0028
"Iced Chestnut Praline Latte", SB0510
"Iced Chocolate Almondmilk Shaken Espresso", SB0532
"Iced Cinnamon Almondmilk Macchiato", SB0202SB0119
"Iced Cinnamon Dolce Latte", SB0120
"Iced Cinnamon Spice Oatmilk Latte", SB0523
"Iced Clover Brewed Coffees", sbuxtemplate0026
"Iced Clover Brewed®  Breakfast Blend", SB0345
"Iced Clover Brewed® Decaf Espresso Roast", SB0355
"Iced Clover Brewed® Decaf Pike Place® Roast", SB0361
"Iced Clover Brewed® Gold Coast Blend®", SB0351
"Iced Clover Brewed® Italian Roast", SB0353
"Iced Clover Brewed® Kenya", SB0332
"Iced Clover Brewed® Starbucks Willow Blend", SB0359
"Iced Cocoa Cloud Macchiato* (Contains eggs)", SB0414
"Iced Coconutmilk Cascara Latte", SB0428
"Iced Coconutmilk Cascara Latte with Starbucks® Blonde Espresso", SB0425
"Iced Coconutmilk Drinks", sbuxtemplate0031
"Iced Coconutmilk Mocha Macchiato", SB0121
"Iced Coffee", SB0123
"Iced Coffee with Milk", SB0124
"Iced Coffees", sbuxtemplate0020
"Iced Cordusio", SB0122
"Iced Decaf Sumatra Clover®", SB0331
"Iced Eggnog Latte", SB0513
"Iced Espresso (Double)", SB0324
"Iced Espresso (Quad)", SB0326
"Iced Espresso (Single)", SB0327
"Iced Espresso (Triple)", SB0325
"Iced Espresso Roast Clover®", SB0352
"Iced Espresso Shots", sbuxtemplate0021
"Iced Ethiopia Clover®", SB0373
"Iced Flat White", SB0125
"Iced Flat Whites", sbuxtemplate0022
"Iced Flat Whites/Iced Lattes/Iced Macchiatos/Iced Mochas", sbuxtemplate0044
"Iced French Roast Clover®", SB0354
"Iced Green Tea", SB0126
"Iced Green Tea Lemonade", SB0127
"Iced Green Teas", sbuxtemplate0029
"Iced Guatemala Acatanango Volcano Valley Clover®", SB0391
"Iced Guatemala Antigua Clover®", SB0349
"Iced Guava Black Tea", SB0304
"Iced Guava Black Tea Lemonade", SB0305
"Iced Guava Passionfruit Drink", SB0534
"Iced Guava White Tea", SB0128
"Iced Guava White Tea Lemonade", SB0129
"Iced Herbal Teas", sbuxtemplate0030
"Iced Herbal Teas, sbuxtemplate0038
"Iced Honey Oatmilk Latte", SB0552
"Iced Komodo Dragon Clover®", SB0347
"Iced Latte Macchiato", SB0130
"Iced Lattes", sbuxtemplate0023
"Iced Lattes/Iced Macchiatos/Iced Mochas/Iced Clover Brewed Coffees", sbuxtemplate0040
"Iced Lemon Loaf Cake", SB0131
"Iced London Fog Tea Latte", SB0366
"Iced Macchiatos", sbuxtemplate0024
"Iced Matcha Lemonade", SB0133
"Iced Matcha Tea Latte", SB0132
"Iced Mochas", sbuxtemplate0025
"Iced Nicaragua Monimbo Clover®", SB0389
"Iced Oat Honey Latte", SB0435
"Iced Oat Honey Latte with Starbucks Blonde® Espresso", SB0434
"Iced Oatmilk Honey Latte", SB0429
"Iced Oatmilk Honey Latte with Starbucks® Blonde Espresso", SB0426
"Iced Organic Yukon Blend® Clover®", SB0348
"Iced Papua New Guinea Roots No. 1 Clover®", SB0404
"Iced Papua New Guinea Ulya Clover®", SB0377
"Iced Passion Tango® Tea", SB0555
"Iced Passion Tango® Tea Lemonade", SB0134
"Iced Passion Tango™ Tea", SB0135
"Iced Peach Green Tea", SB0138
"Iced Peach Green Tea Lemonade", SB0139
"Iced Peppermint Mocha", SB0514
"Iced Peppermint White Chocolate Mocha", SB0516
"Iced Peru San Ignacio Clover®", SB0401
"Iced Pike Place® Roast Clover®", SB0350
"Iced Pineapple Matcha Coconutmilk Latte", SB0535
"Iced Pistachio Latte", SB0222
"Iced Pumpkin Spiced Latte", SB0140
"Iced Reserve Bar Caffè Americano", SB0529
"Iced Royal English Breakfast Tea Latte", SB0367
"Iced Salted Caramel Mocha", SB0141
"Iced Shaken Espresso", SB0533
"Iced Skinny Cinnamon Dolce Latte", SB0142
"Iced Skinny Mocha", SB0143
