Name,Barcode
Spiced Apple Drizzle modifier no, 011131095
Spiced Apple Drizzle modifier light, 011131096
Spiced Apple Drizzle modifier regular, 011131097
Spiced Apple Drizzle modifier extra, 011131098
Apple Brown Sugar sub, 011131099
Apple Brown Sugar add, 011131100
Apple Brown Sugar modifier extra, 011131101
Apple Brown Sugar modifier light, 011131102
Apple Brown Sugar modifier no, 011131103
Honey Malt Flavor modifier no, 011131738
Honey Malt Flavor modifier extra, 011131739
Honey Malt Flavor sub, 011131741
Splash of Non-Dairy Milk modifier sub, 011131898
Splash of Non-Dairy Milk modifier regular, 011131899
Splash of Non-Dairy Milk modifier no, 011131900
Splash of Non-Dairy Milk modifier light, 011131901
Splash of Non-Dairy Milk modifier extra, 011131902
Non-Dairy Whipped Cream modifier sub, 011131903
Non-Dairy Whipped Cream modifier no, 011131904
Non-Dairy Whipped Cream modifier light, 011131905
Non-Dairy Whipped Cream modifier regular, 011131906
Non-Dairy Whipped Cream modifier extra, 011131907
Non-Dairy Vanilla Sweet Cream modifier sub, 011131908
Non-Dairy Vanilla Sweet Cream modifier no, 011131909
Non-Dairy Vanilla Sweet Cream modifier light, 011131910
Non-Dairy Vanilla Sweet Cream modifier regular, 011131911
Non-Dairy Vanilla Sweet Cream modifier extra, 011131912
Costa Rica Naranjo Starbucks Reserve® , 011132088&011132089&011132090
Non-Dairy Milk modifier sub, 011132100
Non-Dairy Milk modifier no, 011132101
Non-Dairy Milk modifier light, 011132102
Non-Dairy Milk modifier regular, 011132103
Non-Dairy Milk modifier extra, 011132104
Blue Color modifier sub, 011132437
Blue Color modifier no, 011132438
Blue Color modifier light, 011132439
Blue Color modifier extra, 011132441
Green Color modifier sub, 011132442
Green Color modifier no, 011132443
Green Color modifier light, 011132444
Green Color modifier extra, 011132446
Yellow Color modifier sub, 011132447
Yellow Color modifier no, 011132448
Yellow Color modifier light, 011132449
Yellow Color modifier extra, 011132451
Sugar Cookie Oatmilk Latte , 011132709&011132710&011132711&011132712
Iced Sugar Cookie Oatmilk Latte , 011132713&011132714&011132715
Shot in the Dark , 011132877&011132878&011132879
Passion Guava Fizz , 011132880&011132881&011132882
Irish Cream Cold Foam modifier sub, 011133120
Irish Cream Cold Foam modifier no, 011133121
Irish Cream Cold Foam modifier light, 011133122
Irish Cream Cold Foam modifier regular, 011133123
Irish Cream Cold Foam modifier extra, 011133124
