Name,Barcode
 Pumpkin Spice Frappuccino® Blended Beverage, 011005210&011005211&011005212
 Caramel Brulée Latte, 011005278&011005279&011005280&011005281
 Iced Caramel Brulée Latte, 011005282&011005284&011005285
Add Caramel Brulée Sauce, 011005293
No Caramel Brulée Sauce Modifier, 011005294
Substitute Caramel Brulée Sauce, 011005295
Extra Caramel Brulée Sauce Modifier, 011005296
Light Caramel Brulée Sauce Modifier, 011005297
Caramel Brulée Topping, 011005298
No Caramel Brulée Topping, 011005299&011035159
Sub Caramel Brulée Topping, 011005300&011070821
Extra Caramel Brulée Topping, 011005301&011070823
Light Caramel Brulée Topping, 011005302&011070824
Doppio Iced Espresso Macchiato, 011005324
Triple Iced Espresso Macchiato, 011005325
Quad Iced Espresso Macchiato, 011005326
Doppio Iced Espresso, 011005330
Triple Iced Espresso, 011005331
Quad Iced Espresso, 011005332
Caramel Brulée Frappuccino® Blended Beverage , 011005499&011005500&011005501
Peppermint Mocha Frappuccino® Blended Beverage , 011005502&011005503&011005504
Eggnog Frappuccino® Blended Beverage , 011005505&011005506&011005507
 Caramel Brulée Crème, 011005690&011005691&011005692&011005693&011005694
Solo Iced Espresso, 011005727
Doppio Iced Espresso Con Panna, 011005729
Triple Iced Espresso Con Panna, 011005730
Quad Iced Espresso Con Panna, 011005731
Solo Iced Espresso Macchiato, 011005732
 Sumatra Clover®, 011006026&011006027&011006029&011006295
 Iced Sumatra Clover®, 011006028&011006030&011006031
 Decaf Sumatra Clover®, 011006032&011006033&011006035&011006296
 Iced Decaf Sumatra Clover®, 011006034&011006036&011006037
 Peppermint White Chocolate Mocha Light Frappuccino® Blended Beverage, 011006968&011006969&011006970
Clover® Starbucks Reserve® Jamaica Blue Mountain® , 011007084&011007085&011007087&011007089
Iced Clover® Starbucks Reserve® Jamaica Blue Mountain® , 011007086&011007088
Iced Jamaica Blue Mountain® Clover® Starbucks Reserve® , 011007090
Custom Tea Latte , 011007553&011007554&011007555&011007556
 Decaf Iced Coffee, 011008163&011008164&011008165&011008277
 Decaf Iced Coffee with Milk, 011008168&011008171&011008172&011008278
 Very Berry Hibiscus Starbucks Refreshers™ Beverage, 011008581&011008582&011008583&011015676
 Salted Caramel Mocha, 011009207&011009208&011009209&011009210
 Salted Caramel Mocha Crème Frappuccino®, 011009211&011009212&011009213
 Salted Caramel Hot Chocolate, 011009247&011009249&011009251&011009252
 Pumpkin Spice Frappuccino® Blended Crème, 011009886&011009887&011009888
Salted Caramel Hot Chocolate , 011009978
 Iced Salted Caramel Mocha, 011010002&011010003&011010005
Signature Espresso  add, 011010168
Add Sugar Free Mocha Sauce, 011010977
Peppermint White Chocolate Mocha Frappuccino® Blended Beverage , 011010991&011010995&011010999
 Iced Skinny Mocha, 011011222
 Skinny Caramel Macchiato, 011011575&011011576&011011578&011011580
 Iced Skinny Caramel Macchiato, 011011581&011011582&011011583
Tea Refill , 011012082&011012083&011012084&011012085
Extra Coconut Flakes, 011015279
 Salted Caramel Mocha Frappuccino® Blended Beverage, 011015666&011015669&011015675
Add Blackberries, 011015701
Extra Blackberries, 011015702
Light Blackberries, 011015703
Substitute Blackberries, 011015704
No Blackberries, 011015706
Add Lime Slices, 011015707
 Caffé Verona® Clover®, 011015943&011015944&011015945&011015949
 Komodo Dragon Clover®, 011015950&011015951&011015952&011015953
 Organic Yukon Blend® Clover®, 011015955&011015956&011015957
 Kenya Clover®, 011015960&011015961
 Guatemala Antigua Clover®, 011015964&011015965&011015967
 Pike Place® Roast Clover®, 011015969&011015971&011015973&011015975
 Gold Coast Clover®, 011015981&011015982&011015983&011015984
 Espresso Roast Clover®, 011015985&011015986&011015987&011015988
 Italian Roast Clover®, 011015989&011015990&011015991&011015992
 Decaf Espresso Roast Clover®, 011016000&011016001&011016002&011016003
 Iced Caffé Verona® Clover®, 011016044&011016045&011016046
 Iced Komodo Dragon Clover®, 011016048&011016049
 Iced Organic Yukon Blend® Clover®, 011016050
 Iced Guatemala Antigua Clover®, 011016056&011016057&011016058
 Iced Pike Place® Roast Clover®, 011016059&011016060&011016061
 Iced Gold Coast Clover®, 011016066&011016067
 Iced Espresso Roast Clover®, 011016068&011016069&011016070
 Iced Italian Roast Clover®, 011016071&011016072&011016073
 Iced Decaf Espresso Roast Clover®, 011016082&011016083&011016084
Salt Sprinkles Topping, 011017325
Extra Salt Topping, 011017326
No Salt Topping, 011017327
 Lemonade, 011017739&011017742&011017743&011017745&011019598
 Gingerbread Frappuccino® Blended Beverage, 011018229&011018230&011018231
 Starbucks Reserve® Hawaii Ka'u, 011018328&011018329&011018330&011018331&011028154
Iced Clover® Starbucks Reserve® Hawaii Ka'U , 011018332&011018333&011018334
 Blonde Roast, 011019773&011019774&011019775&011019776
 Veranda Blend® Clover®, 011020010&011020011&011020013&011020015
 Iced Veranda Blend® Clover®, 011020012&011020014&011020016
 Mocha Cookie Crumble Frappuccino® blended beverage, 011020122&011020123&011020124
 Chocolate Cookie Crumble Crème Frappuccino® Blended Crème Testing in Prod Content V2, 011020130&011020132&011020133
Clover® Starbucks Reserve®100% Kona , 011020720
Regular Cookie Crumble Topping, 011021426
Extra Cookie Crumble Topping, 011021427
Light Cookie Crumble Topping, 011021428
No Cookie Crumble Topping, 011021429
Substitute Cookie Crumble Topping, 011021430
 Decaf Pike Place® Roast Clover®, 011022811&011022812&011022819&011022828
 Iced Decaf Pike Place® Roast Clover®, 011022818&011022823&011022830
Pumpkin Spice Topping, 011026033
Extra Pumpkin Spice Topping, 011026034
Sub Pumpkin Spice Topping, 011026036
No Pumpkin Spice Topping, 011026041
Cinnamon Dolce Sprinkles, 011026043
Extra Cinnamon Dolce Sprinkles, 011026044
Sub Cinnamon Dolce Topping, 011026045
No Cinnamon Dolce Sprinkles, 011026046
Light Pumpkin Spice Topping, 011026058
Light Cinnamon Dolce Sprinkles, 011026059
Clover® Starbucks Reserve® Microblend No. 11 , 011026415&011026417
Vanilla Spice Topping, 011027700
No Vanilla Spice Topping, 011027703
 Caramel Ribbon Crunch Frappuccino® Blended Coffee, 011029017&011029018&011029019
 Caramel Ribbon Crunch Crème Frappuccino® Blended Crème, 011029023&011029024&011029025
Sub Caramel Drizzle, 011030587
Sparkling, 011030956
Sparkling Water , 011031040&011031041&011031042&011031079
 Chestnut Praline Latte, 011032992&011032996&011033006&011033007&011057122&011057123&011057124&011057125
 Iced Chestnut Praline Latte, 011033008&011033009&011033010&011057126&011057127&011057128
 Chestnut Praline Frappuccino® Blended Beverage, 011033011&011033012&011033013
Add Chestnut Praline Syrup, 011033014
Extra Chestnut Praline Syrup Modifier, 011033015
Light Chestnut Praline Syrup Modifier, 011033016
No Chestnut Praline Syrup Modifier, 011033018
Substitute Chestnut Praline Syrup, 011033019
Chestnut Praline Topping, 011033023
Extra Chestnut Praline Topping, 011033024
Light Chestnut Praline Topping, 011033025
No Chestnut Praline Topping, 011033026
Sub Chestnut Praline Topping, 011033027
 Teavana® Earl Grey Brewed Tea, 011033040&011033049&011033050&011033051
 Royal English Breakfast Tea Latte, 011033052&011033053&011033054&011033055
 Teavana® London Fog Tea Latte, 011033056&011033065&011033066&011033067
 Iced Teavana® London Fog Tea Latte, 011033068&011033069&011033070
 Iced Teavana® Royal English Breakfast Tea Latte, 011033071&011033072&011033074
 Royal English Breakfast Tea, 011033075&011033076&011033077&011033078
Emperor's Clouds & Mist® Green Tea , 011033079&011033156&011033157&011033159
 Peach Tranquility® Herbal Tea, 011033160&011033161&011033163&011033164
