Global ID,Barcode,Name,Status,Unit,Number of units,Units per pack,Categories,Price,No discount price,Price with markup,Price with commission,Price base,Markup,Commission,Location in store,Location priority,Preparation time,Tax code,Freetext notes,Item taxes,Filters,Description,Allergen Information,Ingredients,Nutritional Data,Dietary Information,Station,Modifiers,Private,Tags,Song,Virtual,Skip importer
5.9991E+12,5.9991E+12,GLOBUS VITAL Speltanisu 150g,Available,,,,Konservid,1.25,,1.25,1.25,1.09,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9991E+12,5.9991E+12,GLOBUS VITAL Speltanisu segu 400g,Available,,,,Konservid,1.75,,1.75,1.75,1.52,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9983E+12,5.9983E+12,GLOBUS Valged Oad Tomatikastmes 330g,Available,,,,Konservid,1.79,,1.79,1.79,1.56,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9983E+12,5.9983E+12,GLOBUS Valitud Miniherned 400g,Available,,,,Konservid,1.42,,1.42,1.42,1.23,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.9991E+12,5.9991E+12,GLOBUS Õunakompott Kaneeliga 700g,Available,,,,Konservid,2.75,,2.75,2.75,2.39,,15,Konservid,-1,,General,,,[],,,,,,,[],no,,no,no,no
7.3104E+12,7.3104E+12,GOTLANDS Bittar 2009 0.7l,Archived,,,,XX Kange Alko,36.67,,36.67,36.67,31.89,,15,XX Kange Alko,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7701E+12,4.7701E+12,GRAFO Küpsised Aprikoosi & Mandlitega 120g,Available,,,,Küpsised,1.83,,1.83,1.83,1.59,,15,Küpsised,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7701E+12,4.7701E+12,GRAFO Küpsised Vaarika & Kreeka Pähkliga 120g,Available,,,,Küpsised,1.83,,1.83,1.83,1.59,,15,Küpsised,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7701E+12,4.7701E+12,GRAFO Küpsised Õuna & Kakao Glasuuriga 250g,Available,,,,Küpsised,1.46,,1.46,1.46,1.27,,15,Küpsised,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.43702E+12,8.43702E+12,GRAND CAMPO Chardonnay Navarra 75cl,Available,,,,Vein,7.49,,7.49,7.49,6.51,0,15,Vein,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.43702E+12,8.43702E+12,GRAND CAMPO Tempranillo Navarra 75cl,Available,,,,Vein,7.49,,7.49,7.49,6.51,0,15,Vein,-1,,General,,,[],,,,,,,[],no,,no,no,no
3.52323E+12,3.52323E+12,GRAND FERMAGE Camembert Valgehallitusjuust 125g,Available,,,,Juust,1.92,,1.92,1.92,1.67,,15,Juust,-1,,General,,,[],,,,,,,[],no,,no,no,no
3.52323E+12,3.52323E+12,GRAND FERMAGE Või Meresoolaga 250g,Available,,,,Piimatooted,3.75,,3.75,3.75,3.26,,15,Piimatooted,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.00729E+12,8.00729E+12,GRANORO Cannelloni Torud 250g,Available,,,,Pasta & nuudlid,1.58,,1.58,1.58,1.37,,15,Pasta & nuudlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.00729E+12,8.00729E+12,GRANORO Tomatipasta 690g Klaaspudelis,Available,,,,Kastmed & õlid,2.08,,2.08,2.08,1.81,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.00729E+12,8.00729E+12,GRANORO Tricolori Spirali Fantasia 500g,Available,,,,Pasta & nuudlid,1.5,,1.5,1.5,1.3,,15,Pasta & nuudlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.01033E+12,5.01033E+12,GRANT'S Triple Wood 70cl,Archived,,,,XX Viski,16.58,,16.58,16.58,14.42,,15,XX Viski,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.75001E+12,4.75001E+12,GREEN COLA 0.33l,Available,,,,Karastusjoogid,0.58,,0.58,0.58,0.5,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.77904E+12,4.77904E+12,GREPO Aaloemahl Meega 320ml,Available,,,,Karastusjoogid,1.58,,1.58,1.58,1.37,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.77904E+12,4.77904E+12,GREPO Gaseeritud Arbuusimahlajook (99%) 320ml,Available,,,,Karastusjoogid,1.54,,1.54,1.54,1.34,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.77904E+12,4.77904E+12,GREPO Gaseeritud Melonimahlajook (99%) 320ml,Available,,,,Karastusjoogid,1.54,,1.54,1.54,1.34,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.77904E+12,4.77904E+12,GREPO Kookosevesi (100%) 320ml,Available,,,,Karastusjoogid,1.66,,1.66,1.66,1.44,,15,Karastusjoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.77008E+12,4.77008E+12,GRIMBERGEN Blonde 0.5l,Archived,,,,X Õlu,2.08,,2.08,2.08,1.81,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
3.08022E+12,3.08022E+12,GRIMBERGEN Double Ambree 0.5l,Archived,,,,X Õlu,2.08,,2.08,2.08,1.81,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.82002E+12,4.82002E+12,GUSTO Päevalillevõli 1l,Available,,,,Kastmed & õlid,2.21,,2.21,2.21,1.92,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.43656E+12,8.43656E+12,GUZINOS Paprika Aedviljakõrsikud 60g VEGAN,Available,,,,Vegantooted,2.59,,2.59,2.59,2.25,,15,Vegantooted,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.43656E+12,8.43656E+12,GUZINOS Tomati Aedviljakõrsikud 60g VEGAN,Available,,,,Vegantooted,2.59,,2.59,2.59,2.25,,15,Vegantooted,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.00487E+12,4.00487E+12,HACKER PSCHORR Kellerbier 0.5l,Archived,,,,X Õlu,2.92,,2.92,2.92,2.54,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.00487E+12,4.00487E+12,HACKER PSCHORR Münchner Gold 0.5l,Archived,,,,X Õlu,3.13,,3.13,3.13,2.72,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.00487E+12,4.00487E+12,HACKER PSCHORR Weisse 0.5l,Archived,,,,X Õlu,2.92,,2.92,2.92,2.54,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.43701E+12,8.43701E+12,HALON Cosecha Punane 75cl,Archived,,,,X Vein,8.25,,8.25,8.25,7.17,,15,X Vein,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7403E+12,4.7403E+12,HANSA Tulemasin,Available,,,,Tulesüütajad,0.42,,0.42,0.42,0.37,,15,Tulesüütajad,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.74026E+12,4.74026E+12,HAPPY Klombistuv Ookeanilõhnaline Kassiliiv 5l,Available,,,,Lemmikloomadele,4.08,,4.08,4.08,3.55,,15,Lemmikloomadele,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.74026E+12,4.74026E+12,HAPPY klombistuv kassiliiv 5 kg,Available,,,,Lemmikloomadele,3.33,,3.33,3.33,2.9,,15,Lemmikloomadele,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKING & BRIMBLE Body Wash 250ml,Available,,,,Hügieenikaubad,8.25,,8.25,8.25,7.17,,15,Hügieenikaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKING & BRIMBLE Conditioner 250ml,Available,,,,Hügieenikaubad,8.25,,8.25,8.25,7.17,,15,Hügieenikaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKING & BRIMBLE Eye Cream 20ml,Available,,,,Hügieenikaubad,20,,20,20,17.39,,15,Hügieenikaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKING & BRIMBLE Face Wash 150ml,Available,,,,Hügieenikaubad,10.25,,10.25,10.25,8.91,,15,Hügieenikaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKING & BRIMBLE Natural Daily Moisturiser 100ml,Available,,,,Hügieenikaubad,18.17,,18.17,18.17,15.8,,15,Hügieenikaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKING & BRIMBLE Oil Control Moisturiser 100ml,Available,,,,Hügieenikaubad,18.17,,18.17,18.17,15.8,,15,Hügieenikaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKING & BRIMBLE Shampoo 250ml,Available,,,,Hügieenikaubad,7.92,,7.92,7.92,6.89,,15,Hügieenikaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKING & BRIMBLE Shaving Cream 100ml,Available,,,,Hügieenikaubad,13.25,,13.25,13.25,11.52,,15,Hügieenikaubad,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.0605E+12,5.0605E+12,HAWKINS & BRIMBLE Beard Shampoo (250ml),Archived,,,,Hügieenikaubad,24.3,,24.3,24.3,24.3,,,,,,General,,,,,,,,,,[],no,,no,no,no
4.77048E+12,4.77048E+12,HEINEKEN 0.5l (4-Pack),Archived,,,,X Õlu,6.25,,6.25,6.25,6.25,,,,,,General,,,,,,,,,,[],no,,no,no,no
4.74414E+12,4.74414E+12,HEINEKEN 0.5l (Purk),Archived,,,,X Õlu,1.58,,1.58,1.58,1.37,,15,X Õlu,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.7112E+12,8.7112E+12,HELLMANN'S BBQ Kaste 430ml,Available,,,,Kastmed & õlid,2.17,,2.17,2.17,1.89,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.7112E+12,8.7112E+12,HELLMANN'S Burgeri Kaste 250ml,Available,,,,Kastmed & õlid,1.71,,1.71,1.71,1.49,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.7112E+12,8.7112E+12,HELLMANN'S Ketšup Napoli 485g,Available,,,,Kastmed & õlid,1.75,,1.75,1.75,1.52,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.7112E+12,8.7112E+12,HELLMANN'S Küüslaugukaste 250ml,Available,,,,Kastmed & õlid,2.22,,2.22,2.22,1.93,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.7141E+12,8.7141E+12,HELLMANN'S Originaalne Majonees 420ml,Available,,,,Kastmed & õlid,2.08,,2.08,2.08,1.81,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.7112E+12,8.7112E+12,HELLMANN'S Tšilli Kaste 250ml,Available,,,,Kastmed & õlid,1.71,,1.71,1.71,1.49,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.7112E+12,8.7112E+12,HELLMANN'S ketšup Mild 485g,Available,,,,Kastmed & õlid,1.71,,1.71,1.71,1.49,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.71716E+12,8.71716E+12,HELLMANN's Majonees Vegan 270g,Available,,,,Kastmed & õlid,3.33,,3.33,3.33,2.9,,15,Kastmed & õlid,-1,,General,,,[],,,,,,,[],no,,no,no,no
6.43006E+12,6.43006E+12,HELSINKI Dry Gin 0.5l,Archived,,,,XX Gin,24.99,,24.99,24.99,21.73,,15,XX Gin,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.81016E+12,4.81016E+12,HEMATOGEEN Extra 30g,Available,,,,Väikesed maiustused,0.83,,0.83,0.83,0.72,,15,Väikesed maiustused,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.01033E+12,5.01033E+12,HENDRICK'S Gin 70cl,Archived,,,,XX Gin,36.67,,36.67,36.67,31.89,,15,XX Gin,-1,,General,,,[],,,,,,,[],no,,no,no,no
E18,E18,"HIIDAVOKAADO ""Lula"" (BIO) 370-510g",Available,,,,Puuvili & köögivili,2.08,,2.08,2.08,1.81,,15,Puuvili & köögivili,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.00143E+12,4.00143E+12,HOCHWALD Jääkohv 500ml,Available,,,,2GO & valmistoit,1.21,,1.21,1.21,1.05,,15,2GO & valmistoit,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.00143E+12,4.00143E+12,HOCHWALD Vahukoor 250g,Available,,,,Piimatooted,2.17,,2.17,2.17,1.89,,15,Piimatooted,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY'S Apple 0.33l,Archived,,,,X Siider,1.42,,1.42,1.42,1.23,,15,X Siider,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY'S Apple 0.5l (Alkoholivaba),Available,,,,#NAME?,1,,1,1,0.87,,15,"Alkoholivabad õlled, -siidrid",-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY'S Dry Apple 0.33l,Archived,,,,X Siider,1.42,,1.42,1.42,1.23,,15,X Siider,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY'S Dry Apple 0.355l (Purk),Archived,,,,X Siider,1.25,,1.25,1.25,1.09,,15,X Siider,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY'S Pear 0.33l,Archived,,,,X Siider,1.42,,1.42,1.42,1.23,,15,X Siider,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY'S Raspberry 0.355l (Purk),Archived,,,,X Siider,1.25,,1.25,1.25,1.09,,15,X Siider,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY'S Rhubarb 0.355l (Purk),Archived,,,,X Siider,1.25,,1.25,1.25,1.09,,15,X Siider,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY’S Gin 0.5l,Archived,,,,X Long drink,1.83,,1.83,1.83,1.59,,15,X Long drink,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.7401E+12,4.7401E+12,HOGGY’S Gin Yuzu 0.5l,Archived,,,,X Long drink,1.83,,1.83,1.83,1.59,,15,X Long drink,-1,,General,,,[],,,,,,,[],no,,no,no,no
7.64016E+12,7.64016E+12,HOLLE Müslibatoon Õuna-Banaani 25g,Available,,,,Lastetoit,1.58,,1.58,1.58,1.37,,15,Lastetoit,-1,,General,,,[],,,,,,,[],no,,no,no,no
7.64016E+12,7.64016E+12,HOLLE Müslibatooni Banaani-Apelsini 100g,Available,,,,Lastetoit,5.42,,5.42,5.42,4.71,,15,Lastetoit,-1,,General,,,[],,,,,,,[],no,,no,no,no
7.64016E+12,7.64016E+12,HOLLE Orgaaniline Suupiste Hirsi-Mango 25g,Available,,,,Lastetoit,2.08,,2.08,2.08,1.81,,15,Lastetoit,-1,,General,,,[],,,,,,,[],no,,no,no,no
7.64016E+12,7.64016E+12,HOLLE Õuna-Mango & Passioniviljapüree 100g,Available,,,,Lastetoit,1.83,,1.83,1.83,1.59,,15,Lastetoit,-1,,General,,,[],,,,,,,[],no,,no,no,no
7.64016E+12,7.64016E+12,HOLLE Õuna-Mangopüree Kookosega 100g,Available,,,,Lastetoit,1.83,,1.83,1.83,1.59,,15,Lastetoit,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.90048E+12,5.90048E+12,HORTEX Julienne Metsaseened 400g,Available,,,,Kalatooted,2.75,,2.75,2.75,2.39,,15,Kalatooted,-1,,General,,,[],,,,,,,[],no,,no,no,no
5.90048E+12,5.90048E+12,HORTEX Marjasegu Vaarikatega 300g,Available,,,,Sügavkülmutatud tooted,1.88,,1.88,1.88,1.63,,15,Sügavkülmutatud tooted,-1,,General,,,[],,,,,,,[],no,,no,no,no
4.01504E+12,4.01504E+12,HUSTLER 0.5l,Available,,,,Energiajoogid,1,,1,1,0.87,,15,Energiajoogid,-1,,General,,,[],,,,,,,[],no,,no,no,no
8.71133E+12,8.71133E+12,IDÜLL Kakaojäätis 450ml,Available,,,,Jäätis (suured),2.33,,2.33,2.33,2.03,,15,Jäätis (suured),-1,,General,,,[],,,,,,,[],no,,no,no,no
8.71133E+12,8.71133E+12,IDÜLL Karamellijäätis Koonuses 105ml,Available,,,,Jäätis (väikesed),0.75,,0.75,0.75,0.65,,15,Jäätis (väikesed),-1,,General,,,[],,,,,,,[],no,,no,no,no
8.71133E+12,8.71133E+12,IDÜLL Kookosejäätis 450ml,Available,,,,Jäätis (suured),2.33,,2.33,2.33,2.03,,15,Jäätis (suured),-1,,General,,,[],,,,,,,[],no,,no,no,no
8.71133E+12,8.71133E+12,IDÜLL Kookosejäätis Koonuses 105ml,Available,,,,Jäätis (väikesed),0.75,,0.75,0.75,0.65,,15,Jäätis (väikesed),-1,,General,,,[],,,,,,,[],no,,no,no,no
