                                                                                     Name                                                                                                                                                                                                                                                                                  Barcode
111                                                                   Pumpkin Spice Latte                      000183885&000183886&000183887&000183888&011026666&011026672&011026673&011026674&011045163&011098639&011098640&011098641&011098642&000183885&000183886&000183887&000183888&011026666&011026672&011026673&011026674&011045163&011098639&011098640&011098641&011098642
112                                                              Iced Pumpkin Spice Latte                                                                                                                                              000183889&000183890&000183891&011026679&011026680&011026681&011045164&000183889&000183890&000183891&011026679&011026680&011026681&011045164
113                                                                   Pumpkin Spice Crème                                                                                                                                                                                      000183892&000183893&000183894&000183895&000551427&000183892&000183893&000183894&000183895&000551427
114                                                                         Pumpkin Sauce                                                                                                                                                                  000183904&000189197&000189198&000189199&011052325&011052599&000183904&000189197&000189198&000189199&011052325&011052599
115                                                                  Cinnamon Dolce Latte                                                                                                                                                                                                          000184540&000184541&000184542&000184543&000184540&000184541&000184542&000184543
116                                                             Iced Cinnamon Dolce Latte                                                                                                                                                                                                                              000184544&000184545&000184546&000184544&000184545&000184546
117                                                                  Cinnamon Dolce Crème                                                                                                                                                                                                                              000184549&000184550&000184551&000184549&000184550&000184551
118                                                                  Cinnamon Dolce Syrup                                                                                                                                                                                      000184556&000197829&000197830&000197831&000197832&000184556&000197829&000197830&000197831&000197832
119                                                                              Splenda®                                                                                                                                                                                                                                                                      000186842&000186842
120                                                                           Heavy Cream                                                                                                                                                                                                                                                                      000187368&000187368
